               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.6774,              3.1938,               2.457,             0.93346,             0.10582,             0.12696,            0.059356,              2.0545,              1.6882,              1.5489,            0.070027,           0.0033304,           0.0033304
                   1,              1.9104,              1.5716,              1.3879,             0.25177,              0.2714,             0.23421,             0.12514,              1.5687,              1.1944,              1.2763,            0.039961,           0.0065977,           0.0065977
                   2,               1.632,              1.2985,              1.2405,             0.55044,             0.25572,              0.2857,             0.15942,              1.4686,              1.1464,              1.2258,           0.0098287,           0.0097991,           0.0097991
                   3,               1.506,              1.1573,              1.1807,             0.35185,             0.40466,             0.35294,             0.20139,              1.3476,             0.96152,              1.1478,            0.009703,            0.009703,            0.009703
                   4,              1.4287,              1.0571,              1.1432,             0.60013,             0.41952,             0.41589,             0.24915,              1.3024,             0.91671,              1.1207,            0.009703,            0.009703,            0.009703
                   5,              1.3855,             0.99811,              1.1192,             0.43768,              0.4756,             0.45428,             0.27569,               1.283,             0.86377,              1.1108,            0.009604,            0.009604,            0.009604
                   6,              1.3479,             0.94371,              1.1031,             0.49688,             0.53789,             0.50372,             0.30797,              1.2825,             0.84367,              1.1065,            0.009505,            0.009505,            0.009505
                   7,              1.3318,             0.91003,              1.0951,              0.4873,             0.56169,             0.52752,             0.32596,              1.2235,             0.79519,              1.0826,            0.009406,            0.009406,            0.009406
                   8,              1.3133,             0.89064,              1.0892,              0.4989,             0.60142,             0.54769,             0.34443,              1.2169,             0.78412,              1.0763,            0.009307,            0.009307,            0.009307
                   9,              1.3035,             0.86956,              1.0861,             0.56498,             0.58151,             0.56772,             0.36123,              1.2087,             0.76801,              1.0693,            0.009208,            0.009208,            0.009208
                  10,              1.2865,             0.84305,              1.0762,             0.59023,             0.60578,             0.59474,             0.37618,               1.208,             0.75043,              1.0699,            0.009109,            0.009109,            0.009109
                  11,              1.2743,             0.83138,              1.0692,             0.57662,             0.61574,             0.59336,             0.37843,              1.1925,                0.75,              1.0627,             0.00901,             0.00901,             0.00901
                  12,              1.2617,             0.81877,              1.0664,             0.63274,             0.60893,             0.61825,             0.39667,              1.1879,             0.72755,              1.0576,            0.008911,            0.008911,            0.008911
                  13,              1.2593,             0.80865,              1.0638,             0.63603,             0.61888,             0.62665,             0.40385,              1.1788,             0.72185,              1.0554,            0.008812,            0.008812,            0.008812
                  14,              1.2508,             0.79372,              1.0598,              0.6246,             0.65009,             0.64637,             0.41492,              1.1728,             0.70899,              1.0529,            0.008713,            0.008713,            0.008713
                  15,              1.2386,             0.78543,              1.0568,             0.62333,             0.62847,             0.63395,             0.40974,              1.1734,              0.7232,              1.0531,            0.008614,            0.008614,            0.008614
                  16,              1.2259,             0.77453,              1.0497,             0.64293,             0.63995,             0.64679,             0.42434,              1.1611,              0.7072,              1.0461,            0.008515,            0.008515,            0.008515
                  17,              1.2286,             0.76862,              1.0506,              0.6472,             0.64151,             0.65243,              0.4236,              1.1596,             0.70389,               1.044,            0.008416,            0.008416,            0.008416
                  18,              1.2221,             0.76476,              1.0472,             0.65486,             0.65182,             0.65951,             0.43157,              1.1561,             0.69344,              1.0433,            0.008317,            0.008317,            0.008317
                  19,              1.2145,             0.75496,              1.0457,             0.67565,              0.6536,             0.67067,             0.43986,              1.1456,             0.69078,              1.0381,            0.008218,            0.008218,            0.008218
                  20,              1.2124,             0.74989,              1.0445,             0.65894,              0.6543,             0.66329,             0.43419,               1.152,             0.69191,              1.0401,            0.008119,            0.008119,            0.008119
                  21,              1.2024,             0.74403,              1.0414,             0.67409,             0.66297,             0.68779,             0.45551,              1.1397,             0.67864,              1.0347,             0.00802,             0.00802,             0.00802
                  22,              1.2003,             0.73665,              1.0394,             0.67486,             0.67174,             0.68893,             0.45704,               1.134,             0.67374,              1.0316,            0.007921,            0.007921,            0.007921
                  23,              1.1916,             0.72939,              1.0371,             0.67067,             0.67748,             0.69104,              0.4564,              1.1332,             0.67674,              1.0313,            0.007822,            0.007822,            0.007822
                  24,              1.1885,             0.72677,              1.0353,             0.68196,             0.66734,             0.69288,             0.46099,              1.1301,             0.67024,              1.0294,            0.007723,            0.007723,            0.007723
                  25,              1.1901,             0.72358,              1.0344,             0.70296,             0.66986,             0.70675,             0.47034,              1.1275,             0.66553,              1.0288,            0.007624,            0.007624,            0.007624
                  26,              1.1877,             0.71495,              1.0334,             0.69997,             0.67252,             0.70685,             0.47407,              1.1215,             0.66231,              1.0259,            0.007525,            0.007525,            0.007525
                  27,              1.1848,             0.71142,              1.0336,             0.71912,             0.67246,              0.7123,             0.47643,              1.1182,              0.6598,              1.0244,            0.007426,            0.007426,            0.007426
                  28,               1.176,             0.70543,              1.0277,             0.70437,             0.68193,             0.71942,             0.48295,              1.1146,             0.65099,              1.0233,            0.007327,            0.007327,            0.007327
                  29,              1.1711,             0.70104,              1.0293,             0.71974,             0.68119,             0.72409,             0.48644,              1.1133,             0.65258,              1.0223,            0.007228,            0.007228,            0.007228
                  30,              1.1677,             0.69663,              1.0259,             0.72556,             0.67839,             0.72744,             0.48753,               1.112,             0.64714,              1.0216,            0.007129,            0.007129,            0.007129
                  31,              1.1608,             0.69436,              1.0268,             0.73606,              0.6895,             0.73448,             0.49644,              1.1085,             0.64485,              1.0202,             0.00703,             0.00703,             0.00703
                  32,              1.1662,             0.69317,               1.025,             0.71784,             0.68967,             0.73125,             0.49602,              1.1078,             0.64401,              1.0197,            0.006931,            0.006931,            0.006931
                  33,              1.1619,             0.68966,              1.0214,             0.71741,             0.69469,             0.73203,             0.49615,              1.1088,             0.64106,              1.0198,            0.006832,            0.006832,            0.006832
                  34,              1.1612,             0.69014,              1.0235,             0.72111,             0.70481,             0.73789,             0.49921,              1.1071,              0.6412,               1.018,            0.006733,            0.006733,            0.006733
                  35,              1.1546,             0.68387,              1.0197,             0.71968,              0.7177,             0.74077,             0.50227,              1.1067,              0.6394,              1.0172,            0.006634,            0.006634,            0.006634
                  36,              1.1583,             0.68773,              1.0179,             0.72311,             0.71367,             0.74409,              0.5057,              1.1062,              0.6363,              1.0159,            0.006535,            0.006535,            0.006535
                  37,              1.1559,               0.687,              1.0155,             0.73892,             0.70277,             0.74276,             0.50473,              1.1043,             0.63877,              1.0137,            0.006436,            0.006436,            0.006436
                  38,               1.157,             0.68499,              1.0132,             0.72727,             0.71614,             0.74305,             0.50619,              1.1034,             0.64184,              1.0122,            0.006337,            0.006337,            0.006337
                  39,              1.1567,             0.68397,              1.0092,             0.72536,               0.715,             0.74319,             0.50749,               1.102,             0.63838,              1.0111,            0.006238,            0.006238,            0.006238
                  40,              1.1492,             0.67735,              1.0079,             0.73152,             0.71104,             0.74582,             0.50926,              1.1019,             0.63571,              1.0107,            0.006139,            0.006139,            0.006139
                  41,              1.1543,             0.67839,              1.0079,             0.73668,             0.71343,             0.74864,             0.51225,              1.1022,             0.63408,                1.01,             0.00604,             0.00604,             0.00604
                  42,              1.1468,             0.67638,              1.0069,             0.74665,             0.71131,             0.75083,             0.51345,              1.1002,             0.63231,               1.009,            0.005941,            0.005941,            0.005941
